longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.4606,37.9364,35,4962,1583,2838,827,12.1669,210279.41
-121.4339,35.2466,46,1055,355,629,211,11.3364,271127.75
-121.6278,37.8286,18,993,282,953,331,4.0156,115755.28
-117.6249,37.5371,41,1578,310,1312,526,7.3499,104604.76
-114.6662,41.7421,11,7064,2394,2929,883,7.423,14999
-122.3475,41.6104,21,5072,963,1999,634,9.9583,135769.25
-115.8127,32.891,12,3620,1226,1859,905,12.6249,306477.61
-116.4389,34.2932,48,9180,3020,3697,1836,8.7354,248721.16
-121.493,41.8474,35,6738,2231,2472,1123,7.8111,137414.56
-121.6107,40.1509,22,3056,788,911,382,3.1999,14999
-118.6495,39.666,12,10408,3460,4215,1301,7.9716,32761.75
-123.4792,38.8377,12,2022,475,799,337,4.2814,67458.93
-114.7715,35.3813,47,3669,823,3105,1223,3.9264,105498.13
-117.6454,36.9194,11,7040,1868,2941,880,10.7016,167298.96
-115.1521,35.3163,40,2008,688,1364,502,7.0972,133323.25
-114.4221,36.0558,45,7044,2174,3760,1174,12.4713,215838.93
-118.368,39.9492,34,6748,2021,2040,964,8.6804,59130.73
-123.7299,37.6934,33,3248,880,1042,464,12.89,222423.59
-117.1521,37.1399,33,2886,741,2664,962,7.1236,121280.33
-123.7703,36.891,52,5448,1000,1621,681,0.5437,42011.78
-120.0961,39.1306,35,519,180,468,173,4.6628,62012.33
-122.543,33.8144,42,12344,4244,3952,1543,13.4243,265131.9
-120.5599,33.2952,43,12887,2611,6057,1841,2.2202,118228.83
-114.3818,36.2387,9,6160,1983,4826,1540,14.6881,189214.57
-120.0918,36.109,15,3336,796,1341,556,14.0925,285462.52
-117.0708,33.6019,52,8412,2393,4772,1402,13.3911,293016.23
-118.3868,36.741,44,4470,990,3078,1490,6.865,132457.98
-118.9308,39.6388,50,660,175,401,165,12.3289,191395.94
-118.3469,38.8685,21,2675,879,1861,535,8.0581,75294.34
-120.1979,35.1292,36,13944,4595,6707,1992,9.5769,178692.07
-114.5882,41.4003,43,5810,1360,2178,830,2.6637,14999
-120.5703,39.6391,31,2172,502,1662,543,12.1838,228317.71
-114.6334,37.7841,9,3380,754,2108,845,1.6465,14999
-119.8341,36.0318,35,6132,1157,3933,1533,9.2721,198442.53
-116.2713,38.0692,43,4776,1248,3945,1194,5.328,56060.73
-114.7415,32.6843,13,4704,1443,4910,1568,13.7594,259677.16
-120.3678,34.7921,21,8190,2004,4587,1638,5.7093,87655.0
-121.7239,37.3656,32,3012,953,3095,1004,11.5436,217544.61
-121.2083,32.9702,15,6272,1146,4437,1568,8.9685,246263.25
-117.1211,35.3178,13,2900,709,2356,725,7.7399,108781.59
-121.7664,40.2712,47,10912,2874,3072,1364,12.0271,162461.79
-122.6506,39.3182,32,2982,1038,1463,426,8.0972,141635.37
-116.1373,32.9965,1,3576,1155,2098,894,10.754,205738.6
-124.2582,37.2989,24,1211,349,588,173,13.7349,284397.19
-119.0066,36.4107,2,9072,2056,3930,1134,0.7486,14999
-116.1859,38.8827,52,7896,1564,4233,1974,2.659,14999
-116.1652,35.0555,26,1055,361,567,211,4.0265,97285.93
-117.3497,35.3628,6,11104,3432,2970,1388,5.9993,87699.82
-124.2551,34.1527,32,10686,3095,4446,1781,14.6713,353861.54
-114.5726,40.96,3,2080,693,1579,520,8.7184,35044.29
-117.4783,35.1783,35,9632,1787,4085,1204,5.06,164389.55
-114.6968,38.064,49,13840,4422,5870,1730,4.8395,14999
-115.8216,38.9109,35,4374,1349,1611,729,14.8329,207891.74
-117.0794,37.2525,23,477,121,518,159,5.4386,73015.88
-120.3671,39.8192,2,6740,2110,3607,1348,3.808,14999
-118.7975,36.0728,12,10094,2950,3069,1442,9.4699,184784.01
-123.5263,33.9912,46,13240,2730,4277,1655,5.7302,136682.52
-123.4311,41.4133,29,3935,776,1677,787,6.7492,48055.12
-123.3129,33.3833,36,1680,473,596,240,6.0859,178870.16
-121.4199,36.1892,6,10738,3585,5318,1534,8.7934,187605.65
-122.956,35.3736,32,1044,217,840,348,4.8464,157671.87
-116.492,35.9382,16,12208,3226,4463,1526,7.139,111946.93
-120.3773,40.4596,25,8480,2161,4487,1696,12.4413,186079.96
-117.8136,38.1332,20,4942,1685,1624,706,5.0557,124650.56
-121.4239,39.0796,32,4916,1157,2974,1229,11.8951,187665.62
-120.6852,41.3108,13,8834,1860,3977,1262,0.8903,14999
-122.2451,40.0462,45,1146,337,421,191,4.8911,14999
-121.8131,33.9905,28,9996,1924,5807,1666,7.4489,164670.17
-115.1093,39.049,35,625,187,402,125,9.1104,121661.57
-115.1694,33.5692,16,11168,2684,4146,1396,1.1423,59555.16
-120.3378,39.6227,51,2793,507,2223,931,7.9048,113317.94
-119.1413,38.0027,37,3012,733,1352,502,10.3536,168392.51
-114.3331,37.0829,19,2703,539,3073,901,2.5543,14999
-121.2186,36.8247,14,6702,1603,2397,1117,10.9689,199064.19
-123.9014,39.2284,2,8945,2595,5395,1789,2.8831,30740.41
-114.4716,34.8352,12,4720,1115,3114,1180,7.1998,121740.87
-122.4787,38.7253,26,872,247,250,109,9.0869,119287.15
-120.4461,39.1716,14,4960,1574,1298,620,1.9754,14999
-121.0771,36.8455,17,8538,2302,4210,1423,9.1561,159651.39
-118.2125,38.0637,23,4620,1316,2479,770,10.7368,154814.73
-123.4991,33.8004,8,2690,537,1377,538,2.5497,141575.08
-120.4498,38.1524,37,5010,1060,2465,835,10.5548,108177.19
-118.7787,37.1475,9,2165,699,1268,433,13.0501,122676.21
-114.7935,37.1002,13,10314,3546,4741,1719,7.6771,75482.68
-115.9175,37.1387,6,3621,1141,2813,1207,0.9741,14999
-122.0926,35.2564,50,6902,2113,3104,986,8.471,219506.52
-116.5679,40.2871,24,3480,1076,3087,1160,3.6689,14999
-120.0814,39.4657,42,6352,1464,5556,1588,7.0211,64004.82
-119.9417,41.8931,50,6848,1476,5318,1712,10.4924,176984.05
-115.7051,38.2826,28,2723,554,898,389,3.5007,27385.42
-121.5279,37.6098,21,7455,1708,3579,1491,12.9412,253561.28
-114.4557,38.9322,7,1962,659,1140,327,13.0722,204636.63
-121.8432,39.2342,16,12872,3176,3561,1609,9.6698,196667.92
-118.0468,36.0704,5,4041,1004,4208,1347,10.5732,206981.79
-119.45,38.0162,50,14272,2794,6169,1784,9.7052,147441.9
-117.3492,40.5395,51,6864,1489,3025,1144,3.5718,14999
-120.9589,37.9784,37,10770,3381,5997,1795,11.5527,269488.75
-123.8887,38.4323,30,249,84,185,83,7.1195,169673.24
-114.3532,41.0975,42,2672,878,2214,668,1.8534,14999
-120.7312,33.3156,43,15200,3163,4929,1900,4.9299,145369.07
-117.7689,39.1618,1,2922,564,1407,487,8.0319,61045.81
-119.8815,32.6159,22,5169,1798,4537,1723,2.4165,121757.15
-117.0131,33.5038,21,4010,815,2534,802,11.4208,251156.83
-123.0132,41.8836,10,1330,366,553,190,2.8797,14999
-116.8374,41.1962,40,8736,2849,3101,1456,1.9567,14999
-116.7954,38.0879,25,4614,1077,1699,769,4.516,64742.7
-118.3259,38.2575,50,15816,2919,6465,1977,13.1995,246969.8
-122.2873,38.2512,13,9486,2184,3291,1581,13.5197,281074.1
-123.2181,37.2411,39,1365,451,393,195,5.7359,117494.8
-121.1726,36.1801,37,4555,1242,2058,911,7.3297,169416.73
-118.4529,32.6698,14,393,134,340,131,4.6541,122732.0
-117.1952,39.7585,28,8922,1730,4170,1487,9.4327,105400.73
-119.2165,34.4521,52,2576,606,1059,368,11.5667,285739.98
-117.8256,38.5921,20,8880,2700,4839,1480,1.3396,14999
-119.7981,38.2691,20,11312,3301,3200,1414,0.6836,14999
-122.9724,32.6468,32,5320,1425,2457,760,4.2591,126649.64
-115.5805,39.4369,8,4887,1157,4307,1629,8.0959,101007.1
-121.71,41.7152,41,1242,319,525,207,7.7443,63113.43
-121.7886,33.5083,37,11440,2283,4448,1430,0.5372,55209.01
-115.7288,32.6556,3,5080,1245,2260,1016,14.0018,307328.39
-115.174,39.5097,27,2545,565,1717,509,5.1391,14999
-116.057,37.9182,8,8624,2874,2445,1078,12.1629,246902.01
-123.658,36.9165,19,8170,1925,4623,1634,0.6156,14999
-122.3353,37.8454,20,10948,2422,3991,1564,14.5919,330719.65
-116.9961,37.6831,51,2208,399,1443,552,3.8785,39070.91
-120.8719,40.4404,1,9985,1799,5962,1997,12.8106,181075.81
-119.0307,34.7812,32,688,207,368,172,13.8585,275785.63
-115.3412,37.4309,45,9420,2429,5881,1884,8.9212,85493.7
-120.3907,38.1097,4,7520,2586,2213,940,4.2844,43711.43
-121.1873,40.0757,45,14024,3302,4696,1753,3.8874,49829.36
-116.6177,33.5654,7,2316,600,1007,386,8.2709,158742.99
-114.6651,34.4939,20,4990,1621,2131,998,12.2102,204461.61
-118.2928,34.5633,21,1059,318,1218,353,6.2455,173467.75
-123.8585,35.3521,12,678,220,320,113,8.4768,213640.06
-116.3802,33.6829,4,7000,1415,5662,1750,5.8975,119546.4
-118.0218,38.6065,38,6250,2099,2640,1250,14.9588,263192.72
-116.2246,33.4055,52,2187,409,1962,729,2.9358,120355.11
-118.5882,40.2721,26,3198,783,2814,1066,5.6322,56442.75
-119.872,33.9386,40,9226,2046,3219,1318,6.4739,152268.18
-118.8211,33.1138,18,3336,838,2471,834,12.0594,270564.39
-118.8917,32.7238,25,13208,3183,4650,1651,7.5279,285433.0
-115.1867,37.2675,25,2412,444,1746,603,0.9249,14999
-116.2311,36.9786,23,11340,3968,5606,1620,1.9519,14999
-117.7551,35.048,51,15424,2922,6737,1928,3.6815,112000.05
-120.7878,40.4371,12,1640,460,1315,410,10.6156,100007.93
-115.1736,32.8054,45,5390,1486,2190,770,3.2294,144196.0
-119.408,35.4482,32,381,72,368,127,0.789,16654.95
-119.551,35.6616,40,1848,439,1046,462,12.1352,257298.42
-122.867,39.1712,10,4905,1588,5380,1635,14.4281,247186.13
-120.5991,41.4035,26,3750,889,3104,1250,14.65,212182.61
-117.9318,37.1246,21,3248,1119,1234,406,13.9683,210498.65
-116.4486,34.6407,38,6872,1679,5327,1718,4.7705,93177.97
-117.3018,37.9304,50,3636,767,3002,1212,12.2277,206629.67
-118.2117,38.5591,7,11808,2407,6136,1968,3.9509,33902.14
-115.4614,33.3749,46,11376,3458,3560,1422,0.6652,23362.14
-122.2448,39.0628,23,1725,521,1191,575,6.8542,90761.67
-120.1932,40.8375,23,7008,1382,3176,1168,13.0287,195809.51
-117.8143,39.0062,11,2922,922,1996,974,0.7911,14999
-120.9182,40.8954,11,4647,1268,5184,1549,1.85,14999
-118.3859,38.3144,31,4476,1133,4446,1492,9.3061,130878.05
-121.0258,41.7091,27,10339,3130,4571,1477,4.3463,14999
-121.5235,34.7753,4,5978,1634,2336,854,1.2903,57208.93
-116.0781,38.4221,31,1374,253,1033,458,4.7313,28727.29
-123.5274,40.4799,20,9942,2585,5538,1657,4.3426,25207.04
-120.625,36.1294,12,2886,648,2595,962,3.7805,47559.6
-121.6536,33.12,49,11808,2319,4431,1476,12.2186,268064.32
-122.0658,33.1139,25,12082,3034,4838,1726,13.07,345660.86
-119.5828,40.8364,31,1986,490,2171,662,1.0036,14999
-118.6123,41.7877,10,1776,371,1029,296,14.5964,169354.2
-116.2331,33.7274,28,1680,426,734,210,9.5948,207532.41
-115.2055,41.1424,5,1368,375,644,228,12.9211,111420.71
-119.1323,41.1705,1,13280,3797,4621,1660,6.5841,19087.62
-118.4471,39.6763,7,5832,1607,4182,1944,4.6483,23599.09
-118.9722,35.7758,27,3540,1031,1686,590,7.3592,156133.27
-118.1428,38.9464,26,774,256,322,129,3.9449,45745.93
-116.8627,41.2051,24,455,145,223,91,4.565,14999
-123.3639,40.7163,9,5320,1358,2153,665,4.4066,37236.04
-120.1656,38.6147,13,3816,1279,2490,954,7.5247,76221.97
-123.7857,39.9879,5,5496,1462,1513,687,12.8438,212838.39
-115.5215,32.8124,13,7368,2374,4373,1842,7.1185,187630.93
-121.5993,40.2892,33,6896,2323,2604,862,4.0081,14999
-119.4426,36.7378,31,8757,2096,2808,1251,13.4701,255076.58
-121.4879,36.1776,11,12586,3934,4174,1798,3.7096,29090.41
-122.0899,34.4853,42,6216,1140,2815,888,11.6298,344999.63
-117.8504,38.1967,1,2540,719,1734,508,10.8347,156738.44
-117.2279,35.1313,25,8970,2314,4175,1794,4.8811,45389.58
-118.4817,32.6091,43,8885,2447,5136,1777,4.5988,132770.13
-117.4785,37.0732,22,4928,1159,1487,616,10.0137,202610.55
